city,district,voivodeship,area,population,density,lat,lng
Łomża,Łomża[a],podlaskie,32.67,62779,1922,53.1781197,22.059032099999968
Żory,Żory[a],śląskie,64.64,62051,960,50.0447236,18.700640099999987
Tarnowskie Góry,tarnogórski,śląskie,83.72,60879,727,50.4359468,18.846024700000044
Mielec,mielecki,podkarpackie,46.89,60827,1297,50.287063,21.42381009999997
Tczew,tczewski,pomorskie,22.38,60573,2707,54.0919269,18.777307199999996
Ełk,ełcki,warmińsko-mazurskie,21.maj,60103,2855,53.8280529,22.364662899999985
Pruszków,pruszkowski,mazowieckie,19.19,60068,3130,52.1704725,20.811886200000004
Bełchatów,bełchatowski,łódzkie,34.64,59305,1712,51.3687535,19.356424800000013
Świdnica,świdnicki,dolnośląskie,21.76,58802,2702,50.8498434,16.475679000000014
Będzin,będziński,śląskie,37.37,58205,1558,50.3255999,19.12541209999995
Biała Podlaska,Biała Podlaska[a],lubelskie,49.40,57471,1163,52.0387126,23.14450260000001
Zgierz,zgierski,łódzkie,42.33,57390,1356,51.85505759999999,19.406070399999976
Piekary Śląskie,Piekary Śląskie[a],śląskie,39.98,56755,1420,50.3789108,18.92704750000007
Racibórz,raciborski,śląskie,75.01,55710,743,50.0915234,18.219916499999954
Legionowo,legionowski,mazowieckie,13.54,54272,4008,52.4044483,20.949969699999997
Ostrołęka,Ostrołęka[a],mazowieckie,28.63,52611,1838,53.0876544,21.559255399999984
Świętochłowice,Świętochłowice[a],śląskie,13.31,51494,3869,50.2964328,18.917129700000032
Zawiercie,zawierciański,śląskie,85.25,50990,598,50.48774299999999,19.416625899999985
Starachowice,starachowicki,świętokrzyskie,31.82,50679,1593,51.0368289,21.070976900000005
Wejherowo,wejherowski,pomorskie,26.99,50292,1863,54.6003216,18.23304870000004
Puławy,puławski,lubelskie,50.49,48864,968,51.4164431,21.969309000000067
Wodzisław Śląski,wodzisławski,śląskie,49.51,48864,987,50.003137,18.471910200000025
Skierniewice,Skierniewice[a],łódzkie,34.60,48660,1406,51.9547169,20.15833029999999
Starogard Gdański,starogardzki,pomorskie,25.28,48327,1912,53.965614,18.516273599999977
Tarnobrzeg,Tarnobrzeg[a],podkarpackie,85.40,48000,562,50.5729079,21.67906979999998
Rumia,wejherowski,pomorskie,30.paź,47602,1581,54.5707832,18.387822400000005
Radomsko,radomszczański,łódzkie,51.43,47399,922,51.0668544,19.444938699999966
Skarżysko-Kamienna,skarżyski,świętokrzyskie,64.39,47212,733,51.114294,20.84778270000004
Krosno,Krosno[a],podkarpackie,43.50,46934,1088,49.6824761,21.766053100000022
Kołobrzeg,kołobrzeski,zachodniopomorskie,25.67,46720,1820,54.17591729999999,15.583266699999967
Dębica,dębicki,podkarpackie,33.83,46568,1377,50.0516417,21.411696399999983
Piaseczno,piaseczyński,mazowieckie,16.22,45567,2809,52.0811536,21.023860199999945
Kutno,kutnowski,łódzkie,33.59,45371,1351,52.230618,19.364278000000013
